"gebruik.homeopathisch.middel","gezonde.leefstijl","snelheid.van.genezing"
11.8474,16.3304,69.3519
6.4263,10.4394,44.9527
7.4717,11.7643,50.7425
11.1266,15.3475,68.1927
9.86,14.5618,63.0681
10.2019,14.626,61.0033
8.0348,11.9731,52.0447
8.9638,12.6817,54.3619
7.5647,10.485,48.1224
12.8471,17.045,72.3886
11.99,15.6676,66.6546
12.6076,17.4511,71.2596
10.8439,14.3683,64.142
10.3023,14.2515,62.0623
12.7552,18.6447,77.3158
10.9376,14.7237,62.1031
8.5109,13.4596,57.5801
7.4004,10.5652,44.7114
10.6501,14.5804,62.9374
10.0805,14.5012,59.5998
9.3925,14.2209,60.9451
10.1325,12.6914,57.9066
9.2196,13.0773,54.3968
7.4472,10.2063,45.2432
11.3594,15.0053,63.1269
9.3028,12.6764,56.4444
6.2763,9.3566,43.1157
12.078,15.5792,64.6443
9.5563,13.0889,57.3161
11.7054,16.5209,70.8817
11.7785,15.3581,65.9983
7.1043,8.2079,35.7528
9.1099,12.9978,56.7666
13.7946,19.3933,80.444
11.4151,14.9907,68.3003
9.9574,14.4688,63.0894
8.6585,12.1072,51.0225
13.5017,17.6477,73.0574
9.0803,11.7644,53.2738
11.4784,16.0794,69.033
11.2515,14.9509,62.691
10.5131,15.5746,65.5603
5.6602,9.755,42.7107
9.7018,13.9733,61.1791
10.5397,13.4469,62.0132
6.3475,9.2737,41.9418
10.7253,15.3137,65.9039
8.4131,11.8272,54.1264
9.7929,12.3491,54.4662
9.4457,13.7822,60.9221
8.9815,12.6547,55.4002
7.8622,10.8958,47.4064
10.6445,14.5203,64.4503
10.1699,14.5175,59.6444
6.9542,10.6169,46.9652
9.2677,12.587,55.6664
8.7233,12.8182,56.1471
7.686,10.6266,46.4187
10.3955,13.8144,60.5386
7.4764,11.3535,51.555
9.0897,12.5224,53.6851
9.5115,13.6882,58.4634
13.4701,19.2062,79.3108
5.2542,8.3331,37.8876
9.4347,13.7782,57.9632
10.2578,14.3075,62.6647
9.0331,12.6535,52.8635
9.5735,11.8794,54.5103
9.3789,12.3221,55.0045
10.8885,14.3673,61.9681
8.157,11.6649,48.0814
9.1316,14.2996,56.8378
9.283,13.0261,55.7173
8.4447,12.253,54.1581
10.5093,14.3979,63.3711
10.2845,13.9259,62.2044
9.7524,14.2635,62.5443
5.9595,8.7591,42.5087
11.1775,15.5939,66.9214
10.786,15.177,66.4652
9.4131,13.1464,57.8645
9.3722,13.7812,55.0473
12.3221,15.9824,68.043
11.8339,17.0656,67.2844
10.4746,14.3907,61.0206
11.9134,16.2779,69.2497
7.5316,10.7753,48.3663
10.5186,16.2336,65.6681
8.5318,12.6898,55.244
11.3955,15.2741,66.2037
9.922,14.2241,62.0483
7.9537,11.3255,49.0581
9.9557,14.7644,62.552
12.0687,16.6256,70.9918
9.2233,13.5728,59.5652
7.5946,11.5884,47.7064
10.4293,14.4852,59.1111
11.9833,16.8364,72.413
12.9626,16.764,74.3685
10.6507,15.5488,64.491
